url,title,host,location,room_type,bed,bath,feat_amenities,rate,reviews,price
https://www.airbnb.com/rooms/39539077?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,"Ocean Suite 506, near Airport & Miraflores",Patricia,San Miguel,2 bedrooms,2 beds,2 baths,Show all 30 amenities,4.75,(4 reviews),€19
https://www.airbnb.com/rooms/40595436?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,"LOVELY STUDIO W/KITCHENETTE,BATHROOM, POOL 5",Judy,Miraflores,1 bedroom,1 bed,1 bath,Show all 24 amenities,,,€20
https://www.airbnb.com/rooms/33453606?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,Linda habitación con baño privado y jardín,Luis Hugo,Magdalena del Mar,1 bedroom,1 bed,1 bath,Show all 30 amenities,4.82,(11 reviews),€8
https://www.airbnb.com/rooms/23751267?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,Modern & Confy in Barranco ★pool★gym★patio★laundry,Jose,Barranco,1 bedroom,2 beds,1 bath,Show all 56 amenities,4.90,(63 reviews),€30
https://www.airbnb.com/rooms/27854754?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,Safe Clean Private Miraflores Home,Sebastian,Miraflores,1 bedroom,2 beds,1 private bath,Show all 26 amenities,4.83,(59 reviews),€12
https://www.airbnb.com/rooms/36562052?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,Habitación privada cerca al Malecón Miraflores,Bertha,Miraflores,1 bedroom,1 bed,1 private bath,Show all 26 amenities,5.0,(19 reviews),€18
https://www.airbnb.com/rooms/33936799?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,HERMOSO departamento / BEAUTIFUL flat - MIRAFLORES,Sebastián,Miraflores,2 bedrooms,2 beds,2 baths,Show all 27 amenities,4.56,(9 reviews),€21
https://www.airbnb.com/rooms/36344903?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,Encuentra aquí un lugar acogedor y tranquilo,Rozana,Miraflores,1 bedroom,1 bed,1 shared bath,Show all 9 amenities,5.0,(6 reviews),€8
https://www.airbnb.com/rooms/28493959?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,Live in Lima! (Private room close to Miraflores),Maribel Milagros,Cercado de Lima,1 bedroom,1 bed,1 private bath,Show all 30 amenities,5.0,(44 reviews),€19
https://www.airbnb.com/rooms/20409461?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=965b47ec-aa6c-d4a2-cc08-e2a55b99bb07&federated_search_id=98d72d1b-5f9e-4b48-9dda-b47f840fab90,Habitación con baño privado,Liliana,Miraflores,1 bedroom,1 bed,1 private bath,Show all 23 amenities,4.86,(110 reviews),€11
